(1, 2416)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 3134)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 1968)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 1053)	[0.0, 4.576525442512903e-07, 0.0, 4.6260013932427715e-05, 8.97622049732951e-06]
(1, 184)	[1.0, 7.918769891949968e-07, 0.0, 5.442354580285614e-05, 0.0]
(1, 2163)	[0.0, 0.0, 0.001567398119122257, 0.0, 0.0]
(1, 1949)	[0.0, 0.0, 0.00039184952978056425, 0.0, 0.0]
(1, 1304)	[0.0, 6.55346473816549e-08, 0.0, 8.107231650632364e-06, 0.0]
(1, 1345)	[0.0, 2.7544199368543607e-07, 0.0, 1.5071135760790934e-05, 1.3080363316035594e-05]
(1, 781)	[0.0, 3.646589579813444e-07, 0.0, 5.8155446086480575e-05, 1.4580276650945862e-06]
(1, 2073)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 783)	[0.0, 6.55346473816549e-08, 0.0, 8.107231650632364e-06, 0.0]
(1, 151)	[1.0, 5.796156962997785e-07, 0.0, 0.00014367816091954023, 0.0]
(1, 2846)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 1546)	[0.0, 0.0, 0.0, 6.935389907620606e-06, 0.0]
(1, 2786)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 3605)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 2660)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 3197)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 104)	[1.0, 2.8094688056373882e-06, 0.0, 0.000109717868338558, 2.449486477358905e-05]
(1, 1713)	[0.0, 0.0, 0.00011195700850873263, 0.0, 0.0]
(1, 1759)	[0.0, 0.0, 6.530825496342737e-05, 0.0, 0.0]
(1, 2029)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 2753)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 2156)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 2933)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 2110)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 3065)	[0.0, 0.0, 0.0002612330198537095, 0.0, 0.0]
